Tamano 10 , Tamano 20 , Tamano 30 , Tamano 40 , Tamano 50 , Tamano 60 , Tamano 70 , Tamano 80 , Tamano 90 , Tamano 100 , Tamano 110 , Tamano 120 , Tamano 130 , Tamano 140 , Tamano 150 , Tamano 160 , Tamano 170 , Tamano 180 , Tamano 190 , Tamano 200 , Tamano 210 , Tamano 220 , Tamano 230 , Tamano 240 , Tamano 250 , Tamano 260 , Tamano 270 , Tamano 280 , Tamano 290 , Tamano 300 , Tamano 310 , Tamano 320 , Tamano 330 , Tamano 340 , Tamano 350 , Tamano 360 , Tamano 370 , Tamano 380 , Tamano 390 , Tamano 400 , Tamano 410 , Tamano 420 , Tamano 430 , Tamano 440 , Tamano 450 , Tamano 460 , Tamano 470 , Tamano 480 , Tamano 490 , Tamano 500 , Tamano 510 , Tamano 520 , Tamano 530 , Tamano 540 , Tamano 550 , Tamano 560 , Tamano 570 , Tamano 580 , Tamano 590 , Tamano 600 , Tamano 610 , Tamano 620 , Tamano 630 , Tamano 640 , Tamano 650 , Tamano 660 , Tamano 670 , Tamano 680 , Tamano 690 , Tamano 700 , Tamano 710 , Tamano 720 , Tamano 730 , Tamano 740 , Tamano 750 , Tamano 760 , Tamano 770 , Tamano 780 , Tamano 790 , Tamano 800 , Tamano 810 , Tamano 820 , Tamano 830 , Tamano 840 , Tamano 850 , Tamano 860 , Tamano 870 , Tamano 880 , Tamano 890 , Tamano 900 , Tamano 910 , Tamano 920 , Tamano 930 , Tamano 940 , Tamano 950 , Tamano 960 , Tamano 970 , Tamano 980 , Tamano 990 , Tamano 1000
200 , 400 , 800 , 1300 , 2000 , 3300 , 4300 , 7500 , 7100 , 12200 , 10200 , 12500 , 14300 , 18200 , 20400 , 21600 , 25400 , 27400 , 49000 , 43200 , 40000 , 41800 , 44400 , 48000 , 51600 , 62200 , 60600 , 67900 , 72500 , 76000 , 78600 , 84300 , 90800 , 104500 , 117000 , 111700 , 110700 , 119100 , 128500 , 129800 , 143100 , 141300 , 148900 , 167700 , 174400 , 179800 , 176400 , 201500 , 227900 , 209100 , 205600 , 225600 , 228000 , 229500 , 241000 , 256400 , 261600 , 277000 , 296000 , 321600 , 290900 , 372600 , 391900 , 373900 , 345200 , 357200 , 362200 , 389200 , 401700 , 537500 , 408200 , 414500 , 429200 , 442000 , 546400 , 467400 , 600500 , 511000 , 490000 , 491200 , 545000 , 572200 , 530600 , 601200 , 643500 , 696700 , 624000 , 669600 , 692400 , 723300 , 666700 , 662700 , 810300 , 822200 , 730300 , 702800 , 922700 , 753400 , 811800 , 956800
100 , 400 , 800 , 1300 , 1900 , 3600 , 4400 , 7400 , 7100 , 11600 , 10300 , 12500 , 14300 , 20000 , 20400 , 24000 , 25300 , 27400 , 38600 , 61400 , 38300 , 41900 , 44400 , 48000 , 51900 , 64900 , 60600 , 65400 , 69900 , 74000 , 81900 , 84300 , 90300 , 93300 , 105900 , 113100 , 110700 , 126700 , 125500 , 134200 , 141600 , 183900 , 164900 , 162000 , 161200 , 174700 , 182600 , 201800 , 233200 , 214700 , 222800 , 223300 , 222800 , 229300 , 253100 , 254700 , 262900 , 263500 , 281000 , 355000 , 355600 , 357500 , 353100 , 365100 , 354600 , 356400 , 363400 , 377700 , 429900 , 530500 , 415400 , 477900 , 414600 , 440800 , 543700 , 534700 , 609800 , 520300 , 556200 , 495800 , 523300 , 523300 , 523100 , 566000 , 672700 , 727800 , 626200 , 716700 , 625600 , 656700 , 644400 , 671400 , 778800 , 670500 , 819800 , 801200 , 902000 , 748900 , 790000 , 938700
100 , 500 , 700 , 1300 , 1900 , 3200 , 4800 , 6500 , 7100 , 11400 , 10300 , 12500 , 14600 , 17300 , 20200 , 23600 , 27100 , 27300 , 37900 , 48300 , 39500 , 45900 , 44300 , 48200 , 51800 , 55800 , 60400 , 82300 , 70100 , 75900 , 80800 , 84200 , 90400 , 95100 , 107200 , 107800 , 110600 , 117100 , 138800 , 158700 , 140200 , 150000 , 150900 , 164500 , 166500 , 173400 , 177700 , 210100 , 197600 , 204900 , 209700 , 234100 , 224200 , 229300 , 262700 , 253300 , 265400 , 275000 , 280200 , 314600 , 319400 , 313700 , 404100 , 360600 , 477000 , 350000 , 431500 , 359200 , 368500 , 540200 , 433000 , 410500 , 415700 , 443700 , 596900 , 517300 , 581600 , 473500 , 553100 , 520700 , 541000 , 517800 , 603900 , 693500 , 566200 , 587800 , 607000 , 710000 , 726300 , 676900 , 639300 , 685300 , 802800 , 763300 , 739500 , 726000 , 767600 , 760800 , 756100 , 947200
100 , 500 , 800 , 1300 , 1900 , 3400 , 25100 , 6800 , 7100 , 11800 , 10200 , 12500 , 16600 , 17100 , 20200 , 21500 , 29100 , 27700 , 34900 , 42800 , 37500 , 43300 , 44300 , 48000 , 51900 , 58300 , 60500 , 66100 , 70100 , 73800 , 83000 , 84400 , 90400 , 94200 , 119600 , 109100 , 122800 , 121200 , 148800 , 134000 , 142200 , 163200 , 148400 , 155200 , 166100 , 185100 , 175200 , 207000 , 197000 , 213900 , 210300 , 223200 , 228000 , 245300 , 246400 , 272000 , 268000 , 269400 , 282400 , 287900 , 312400 , 320900 , 352400 , 318400 , 418200 , 357300 , 368000 , 461700 , 368600 , 504000 , 386800 , 424200 , 412200 , 437400 , 512700 , 539000 , 598900 , 475200 , 513200 , 504200 , 503000 , 538500 , 695200 , 681900 , 650900 , 602900 , 631800 , 857200 , 780600 , 638800 , 740700 , 679300 , 816100 , 672900 , 751400 , 740700 , 741000 , 762900 , 778500 , 956900
100 , 500 , 800 , 1300 , 1900 , 3400 , 4900 , 6700 , 7100 , 11500 , 10300 , 12500 , 14200 , 17000 , 20200 , 21700 , 26100 , 27300 , 35000 , 46100 , 37400 , 45400 , 45800 , 49200 , 51800 , 55900 , 60500 , 65400 , 69600 , 79300 , 80800 , 84200 , 107600 , 98700 , 122800 , 107900 , 210600 , 134800 , 152900 , 139000 , 140500 , 157200 , 148600 , 166800 , 161400 , 176300 , 180800 , 244000 , 212500 , 214000 , 235200 , 223500 , 231900 , 264800 , 238900 , 289100 , 252700 , 262800 , 277800 , 322900 , 293500 , 344500 , 318300 , 346200 , 410500 , 354300 , 370600 , 426700 , 385900 , 382500 , 516100 , 422400 , 425600 , 427600 , 441900 , 470500 , 575700 , 487800 , 535100 , 525300 , 568800 , 543400 , 673600 , 589100 , 644400 , 620000 , 611200 , 653700 , 771900 , 659500 , 721800 , 680900 , 817900 , 677400 , 786500 , 734600 , 739500 , 795900 , 755100 , 966700
100 , 400 , 700 , 1300 , 1900 , 3600 , 85700 , 6700 , 8600 , 10800 , 10300 , 12500 , 16200 , 17000 , 52400 , 21700 , 25600 , 27200 , 38700 , 42800 , 39100 , 53200 , 51200 , 60100 , 52000 , 58000 , 60500 , 69300 , 69700 , 73800 , 82800 , 84400 , 102300 , 95900 , 122400 , 130400 , 148900 , 116500 , 247100 , 137800 , 138900 , 144100 , 147200 , 167700 , 169900 , 179100 , 179000 , 216100 , 238500 , 204800 , 217900 , 228400 , 236400 , 232700 , 246300 , 264400 , 252700 , 278500 , 278700 , 295700 , 291600 , 359300 , 317200 , 339400 , 425100 , 372900 , 483900 , 393200 , 415000 , 379300 , 489300 , 409500 , 422000 , 417500 , 527400 , 462800 , 562600 , 498900 , 501400 , 517600 , 575000 , 544200 , 672000 , 634600 , 612600 , 580300 , 618200 , 642800 , 761700 , 788700 , 674300 , 679900 , 724400 , 684800 , 769200 , 729400 , 753000 , 742200 , 868100 , 947000
100 , 400 , 800 , 1300 , 1900 , 3400 , 5700 , 6700 , 7800 , 11400 , 10200 , 12500 , 15500 , 19400 , 23000 , 21700 , 25600 , 27300 , 68500 , 43800 , 38300 , 55600 , 46500 , 61200 , 52000 , 56100 , 60600 , 65700 , 69700 , 83600 , 81400 , 84400 , 90200 , 98000 , 121300 , 109100 , 119300 , 116600 , 158100 , 134400 , 142700 , 155300 , 154100 , 156100 , 162700 , 182600 , 183900 , 197200 , 239400 , 230700 , 209700 , 223800 , 235700 , 239000 , 251600 , 293500 , 256000 , 274200 , 272400 , 289800 , 303800 , 357300 , 311600 , 561800 , 426400 , 360500 , 514000 , 373400 , 393000 , 379300 , 399200 , 454800 , 409800 , 534000 , 464700 , 445900 , 515700 , 488800 , 479900 , 532100 , 594600 , 532800 , 669000 , 602600 , 573300 , 678300 , 607300 , 694400 , 765800 , 782900 , 647500 , 711800 , 728100 , 694500 , 703100 , 703800 , 743800 , 724500 , 838900 , 941800
200 , 400 , 800 , 1300 , 1900 , 3300 , 5200 , 6800 , 7200 , 10200 , 10200 , 12500 , 15000 , 17100 , 22000 , 25500 , 70000 , 27400 , 41100 , 44000 , 37500 , 41000 , 46400 , 48000 , 51900 , 55800 , 60500 , 70700 , 69700 , 91600 , 90000 , 84300 , 90100 , 104800 , 133000 , 105400 , 112200 , 116600 , 154700 , 144500 , 140600 , 185200 , 158600 , 154000 , 162700 , 177000 , 175100 , 264800 , 245100 , 218100 , 211500 , 226200 , 229800 , 243400 , 249600 , 251800 , 450000 , 269700 , 272100 , 431300 , 385300 , 306300 , 311900 , 347400 , 446700 , 383800 , 362100 , 365700 , 370100 , 383600 , 413800 , 458500 , 519600 , 471800 , 545700 , 450100 , 463000 , 545200 , 531100 , 543700 , 512100 , 518600 , 701400 , 575600 , 576300 , 585300 , 583600 , 666000 , 775800 , 775600 , 760900 , 637700 , 673900 , 692000 , 806700 , 704200 , 887900 , 910900 , 773600 , 961700
200 , 400 , 700 , 1300 , 1900 , 3300 , 5500 , 6800 , 7200 , 10200 , 10300 , 13500 , 14300 , 17000 , 21500 , 23700 , 30300 , 27300 , 51500 , 44800 , 39300 , 62300 , 46000 , 48400 , 51900 , 55800 , 60500 , 65800 , 69600 , 98400 , 82800 , 87900 , 106400 , 104000 , 150800 , 114700 , 133900 , 116600 , 154500 , 128600 , 147100 , 162400 , 155300 , 168600 , 186000 , 179800 , 175300 , 248500 , 234400 , 207800 , 228200 , 285700 , 229700 , 238600 , 246100 , 250900 , 303600 , 270600 , 272300 , 300700 , 332700 , 300200 , 319900 , 325500 , 370800 , 397500 , 368100 , 370300 , 419500 , 377700 , 468700 , 420200 , 421500 , 422500 , 566600 , 468900 , 465200 , 497700 , 495900 , 523900 , 590600 , 515100 , 547600 , 554100 , 582200 , 594300 , 627500 , 622500 , 757700 , 792400 , 673700 , 675500 , 691200 , 671600 , 712700 , 779200 , 818900 , 826500 , 784900 , 956300
100 , 400 , 800 , 1300 , 1900 , 3000 , 4600 , 7200 , 7100 , 10400 , 10300 , 15100 , 27700 , 18900 , 21300 , 21700 , 30600 , 27300 , 34900 , 50800 , 38800 , 47400 , 46200 , 48200 , 51800 , 55900 , 60500 , 64600 , 69700 , 89500 , 78200 , 105000 , 98500 , 97600 , 143200 , 119400 , 128700 , 116600 , 157000 , 131500 , 165000 , 146800 , 154300 , 185500 , 165900 , 176000 , 175500 , 236300 , 236600 , 206900 , 212600 , 229800 , 237800 , 239800 , 249200 , 246000 , 273700 , 276100 , 272200 , 324000 , 298500 , 359600 , 331200 , 350500 , 364900 , 348100 , 348300 , 359800 , 424400 , 378200 , 483800 , 404100 , 422900 , 429200 , 517700 , 460600 , 532400 , 497900 , 488500 , 493100 , 547300 , 509400 , 541800 , 570000 , 578700 , 726000 , 670100 , 650200 , 758700 , 814200 , 639200 , 665900 , 687100 , 693500 , 683200 , 942100 , 800500 , 836000 , 820700 , 928900
